75	30	30	75																																																																							
																																																																										
0	0	0	0	0	29	0	0	0	0	32	0	0	0	0	0	38	0	0	0	0	36	38	0	0	0	0	27	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	12	0	0	0	0	17	0	0	0	0	0	36	0	0	0	27	39	41	0	0	24	0	0	0
0	0	0	22	0	35	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	22	0	0	17	40	0	0	0	0	0	0	0	0	35	29	0	0	0	0	0	0	0	18	0	0	0	0	0	26	0	0	33	0	47	0	0	0	47	0	0	50	29	22	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	40	0	0	0	0	0	0	12	24	0	0	0	0	32	20	0	0	0	37	0	0	0	48	0	0	0	0	50	18	0	31	0	0	0	0	0	0	0	10	0	0	0	0	38	0	12	0	35	0	16	0	0	0	34	0	0	49	21	0	0	0	0	0	0	40	27	0	0	0	0
0	40	0	0	0	0	0	12	0	0	0	23	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	29	27	0	0	0	41	0	0	0
0	0	0	12	18	0	0	0	25	0	0	0	50	0	0	0	0	0	0	0	0	42	0	0	30	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	35	0	33	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	36	0	0	0	0	39	0	0	0	0	25	0
0	0	33	0	0	45	0	0	0	0	15	38	0	0	27	21	0	0	21	0	0	0	0	49	0	0	0	0	31	0	13	0	12	0	0	28	0	0	0	21	0	0	0	0	0	34	0	0	0	34	0	0	0	0	0	29	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	13	0	27	0	0	0	0	0	0	35	0	0	0	0	0	45	0	26	29	0	21	0	0	0	29	0	0	13	0	0	0	0	40	0	0	27	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	28	0	15	0	32	0	0	0	0	0	15	0	21	0	0	0	0	0
0	0	0	46	19	0	0	0	0	12	0	0	0	37	11	0	22	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	36	19	0	0	0	0	0	0	0	0	46	40	0	48	38	17	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	44	10	0	0	0	0	0	0	0
0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	41	0	0	0	0	0	0	37	0	24	33	0	0	0	0	29	46	0	36	0	0	0	48	0	0	30	0	36	49	0	50	27	0	20	0	0	0	0	22	0	0	0	0	10	28	42	19	0	0	0	0	0	0	0	0	50
0	0	0	21	0	0	33	0	0	12	36	0	0	0	0	24	0	0	0	0	0	0	0	46	23	0	0	0	0	35	34	0	0	0	0	0	0	15	0	0	0	16	0	0	0	0	0	0	0	0	35	10	20	40	0	31	0	0	0	0	0	26	0	0	0	50	0	0	0	0	0	0	0	46	18
