25	10	10	25																					
																								
0	0	0	32	0	0	17	47	0	0	0	0	0	0	0	0	37	19	0	0	26	50	0	0	0
24	0	0	0	37	27	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	39	0	0
0	0	0	11	16	0	0	0	12	0	0	0	0	0	27	0	0	0	0	0	0	42	0	40	0
0	0	0	0	0	0	0	0	0	0	0	43	16	0	0	0	34	0	0	0	0	0	24	0	0
0	39	0	0	0	14	0	34	0	0	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0
44	0	0	20	0	0	0	0	0	0	0	0	27	0	0	0	18	0	0	0	0	0	0	25	0
0	0	0	0	0	0	22	10	0	0	45	0	20	30	0	0	28	0	0	0	0	0	0	0	0
19	0	0	0	11	0	0	10	0	0	39	48	0	0	34	0	0	0	0	0	0	0	0	50	0
0	0	0	0	34	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	32	0	47	47	48
39	0	0	0	0	0	0	0	0	38	0	0	0	0	0	50	0	39	0	0	0	0	0	0	0
37	0	24	34	0	0	0	0	0	0	0	26	0	0	47	0	0	31	42	0	0	37	0	0	0
0	0	0	0	0	0	37	0	44	0	0	0	43	0	0	0	0	0	0	0	0	14	0	0	0
0	21	0	0	0	36	0	0	0	0	0	26	16	0	0	0	0	18	0	15	0	0	45	0	0
48	0	0	16	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	41	0	0	0	0	0
0	0	0	44	0	0	19	43	0	0	30	0	0	0	0	0	0	0	0	25	0	0	0	0	0
0	0	0	0	0	0	0	13	48	0	0	38	0	0	0	24	0	41	41	0	22	0	0	0	0
0	35	0	21	15	0	0	0	29	0	0	0	0	0	41	0	0	0	49	14	0	0	0	0	0
13	0	0	0	0	0	0	0	0	41	48	13	28	0	0	0	22	0	23	45	0	0	43	0	24
0	0	0	40	0	0	0	25	0	42	39	0	0	27	0	0	34	0	0	0	0	0	25	0	0
0	49	15	0	43	25	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	42	0	0
47	0	36	0	0	42	0	0	14	0	0	10	47	19	0	0	0	0	0	0	23	0	0	0	25
0	0	35	48	45	42	0	0	0	0	0	0	43	0	0	0	0	0	40	0	0	18	0	0	0
0	0	0	49	42	0	0	40	27	0	26	0	0	0	31	37	0	0	0	38	0	40	0	0	37
0	0	0	23	0	0	0	0	0	14	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0
24	35	0	0	0	0	0	47	38	0	0	0	0	0	0	0	0	0	0	45	47	42	0	25	0
																								
8	9	10	11	12	13	14	15	16	17															
9	8	9	10	11	12	13	14	15	16															
10	9	8	9	10	11	12	13	14	15															
11	10	9	8	9	10	11	12	13	14															
12	11	10	9	8	9	10	11	12	13															
13	12	11	10	9	8	9	10	11	12															
14	13	12	11	10	9	8	9	10	11															
15	14	13	12	11	10	9	8	9	10															
16	15	14	13	12	11	10	9	8	9															
17	16	15	14	13	12	11	10	9	8															
																								
228	144	148	117	123	134	155	211	245	166	278	138	177	141	161	227	204	300	232	220	263	271	367	71	303
																								
578	578	578	578	578	578	578	578	578	578															
																								
295	179	110	338	243	186	95	306	212	135	227	204	257	142	216	127	173	148	229	223	150	243	265	187	134
																								
578	578	578	578	578	578	578	578	578	578															
